,Designation Name,Company Name,Experience,Salary,Location
0,Data Scientist - TopAds,PT Tokopedia (tokopedia.com),"('1', '4')","('', '')",Noida
1,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Benovymed Healthcare,"('0', '5')","('', '')","Noida, Gurgaon/Gurugram, Delhi / NCR"
2,Data Scientist,Hanu Consultancy Services,"('1', '5')","('', '')","Noida, Greater Noida"
3,Junior data scientist,Dhurin,"('1', '3')","('', '')",Noida
4,Data Scientist,"SquadRun, Inc","('1', '4')","('', '')",Noida
5,Data Scientist,Gujarat Fluorochemicals,"('1', '2')","('', '')",Noida
6,"Intern 6, Engineering",Western Digital,"('', '')","('', '')","('', '')"
7,Senior / Lead Data Scientist,Techneplus Software India,"('8', '13')","('', '')","Noida, Bangalore/Bengaluru"
8,Senior Applied Data Scientist,Microsoft,"('7', '8')","('', '')",Noida
9,Advanced Data Scientist,Honeywell,"('3', '6')","('', '')","Greater Noida, Bangalore/Bengaluru"
10,Data Scientist I,Elitefit.ai,"('0', '4')","('', '')","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
11,Data Scientist,Enest Technologies,"('1', '3')","('', '')",Mohali
12,Senior Data Scientist,Walmart,"('1', '5')","('', '')",Chennai
13,"Data Scientist I, GPS India Operations",Bristol Myers Squibb,"('0', '3')","('', '')",Hyderabad/Secunderabad
14,"Data Scientist I, GPS India Operations",Bms Chemicals,"('0', '3')","('', '')",Hyderabad/Secunderabad
15,Lead Data Scientist- 4 Openings,R Systems International,"('7', '12')","('', '')","Hybrid - Noida, Uttar Pradesh(Sector-59 Noida)"
16,SSE-Data Science-Early Joiner,Bold Technology Systems,"('4', '7')","('', '')",Noida
17,Data Scientist II,Honeywell,"('4', '6')","('', '')","Greater Noida, Bangalore/Bengaluru"
18,Data Scientist | Leading IT Co. | Visakhapatnam,Hiring for - Leading IT Co.,"('0', '5')","('', '')","Hybrid - Vijayawada, Andhra Pradesh, Visakhapatnam, Andhra Pradesh, Guntur, Andhra Pradesh"
19,Data Scientist - Phd only,Anurag Electronic Gujarat,"('0', '2')","('12', '15')",Mumbai
20,Data Scientist,Quinstreet Software India,"('1', '4')","('', '')","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
21,Job Opportunity | Arkray Healthcare | Data Scientist | Pune,Arkray Healthcare,"('1', '5')","('11', '20')","Pimpri-Chinchwad, Maharashtra, Pune, Maharashtra"
22,Data Scientist Analyst,Cheeron Life,"('0', '2')","('', '')",Remote
23,Data Scientist,Superior Electric Machines,"('6', '9')","('', '')","Mumbai, Chennai, Bangalore/Bengaluru"
24,Lead Data Scientist,ADA Global,"('6', '10')","('', '')",Bangalore/Bengaluru
25,Data Scientist Senior,Akamai,"('5', '9')","('', '')",Remote
26,Senior Data Scientist,Locobuzz,"('2', '5')","('', '')",Mumbai
27,Senior Data Scientist,Kaleidofin,"('4', '9')","('', '')","Chennai, Bangalore/Bengaluru"
28,Data Scientist,Ecozen Solutions,"('3', '6')","('', '')",Pune
29,Data Scientist,Windmill,"('3', '8')","('', '')",Remote
30,"Data Scientist II, GPS India Operations",Bms Chemicals,"('3', '5')","('', '')",Hyderabad/Secunderabad
31,Senior Data Scientist,Freshworks,"('4', '7')","('', '')",Bangalore/Bengaluru
32,"Data Scientist II, GPS India Operations",Bristol Myers Squibb,"('3', '5')","('', '')",Hyderabad/Secunderabad
33,Lead Data Scientist,PT Tokopedia (tokopedia.com),"('5', '8')","('', '')",Bangalore/Bengaluru
34,Data Scientist,Sagility India,"('5', '6')","('', '')",Bengaluru
35,Data Scientist,Thoucentric,"('3', '8')","('', '')","Hybrid - Bangalore Rural, Karnataka"
36,Senior Data Scientist (DL-NLP)- Chubb - Bangalore,Chubb,"('6', '11')","('', '')",Bangalore/Bengaluru
37,Lead Data Scientist,Careerfit.ai,"('7', '12')","('', '')",Hybrid - Mumbai (All Areas)
38,Senior Data Scientist,Globant,"('4', '8')","('', '')","Indore, Pune, Bangalore/Bengaluru"
39,Subject Matter Expert - Data Scientist,Globant,"('12', '18')","('', '')","Pune, Ahmedabad, Bangalore/Bengaluru"
40,Senior Data Scientist,Quantium Analytics,"('5', '7')","('', '')",Hyderabad/Secunderabad
41,Lead Data Scientist,Quantium Analytics,"('6', '10')","('', '')",Hyderabad/Secunderabad
42,Data Scientist,Quantium Analytics,"('2', '3')","('', '')",Hyderabad/Secunderabad
43,"Data Scientist, Senior Manager",Dolby,"('5', '10')","('', '')",Bangalore/Bengaluru
44,"Senior Data Scientist, SCM",Neem Consulting Limited,"('4', '9')","('', '')","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
45,Forecasting Data Scientist,Mondelez,"('3', '7')","('', '')",Remote
46,Data Scientist,Sidel,"('5', '8')","('', '')",Hybrid - Pune(Chakan)
47,Data Scientist-Immediate Joiner-L1(HAckerrank),Altimetrik,"('5', '8')","('', '')","Hybrid - Hyderabad, Chennai, Bengaluru"
48,Sr. Data Scientist,Providence Global Center,"('5', '8')","('', '')","Hyderabad/ Secunderabad, Telangana"
49,Data Scientist (hr026@hcapital.in) immediate joiner,A client of Hcapital,"('4', '9')","('20', '35')","Bangalore Rural, Karnataka"
50,Data Science - Generative AI,VBeyond Corporation,"('7', '12')","('16', '27.5')","Hybrid - Hyderabad, Telangana"
51,Data Scientist,Leading Client,"('5', '7')","('', '')",Remote
52,Data Scientist (Experience in Azure Cloud & Python)_Bangalore Location,Adecco Group,"('8', '12')","('18', '27.5')","Hybrid - Bengaluru, Karnataka"
53,Data Scientist-1,Tiger Analytics,"('2', '7')","('', '')","Hybrid - Hyderabad, Chennai, Bengaluru"
54,Lead Data Scientist,TransOrg,"('4', '9')","('', '')","Gurgaon/Gurugram, Mumbai (All Areas)"
55,Data Scientist,Viaprom Technologies,"('5', '7')","('', '')",Kolkata
56,Digital/Device Data Scientist,Novartis,"('3', '7')","('', '')",Hyderabad/Secunderabad
57,Senior Clinical Data Scientist,Novartis,"('4', '7')","('', '')",Hyderabad/Secunderabad
58,Senior Principal Clinical Data Scientist,Novartis,"('7', '12')","('', '')",Hyderabad/Secunderabad
59,Data Scientist,Atkinsréalis,"('3', '6')","('', '')","Gurgaon/Gurugram, Bangalore/Bengaluru"
60,Senior Data Scientist (MLE),Walmart,"('5', '8')","('', '')",Bangalore/Bengaluru
61,Data and Applied Scientist II,Microsoft,"('4', '8')","('', '')",Hyderabad/Secunderabad
62,Data Scientist 2,Angel One,"('4', '7')","('', '')",Remote
63,Lead Data Scientist,Elitefit.ai,"('3', '7')","('', '')","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
64,Qatar -Senior Data Scientist,K20s - Kinetic Technologies,"('5', '13')","('', '')",Mumbai
65,Data Scientist - Credit Card,Visa Inc,"('5', '10')","('', '')",Bangalore/Bengaluru
66,"Senior Data Scientist, Sterile Injectables Design",Pfizer,"('3', '5')","('', '')",Chennai
67,Data Scientist(MTech Only),NDS InfoServ,"('3', '6')","('5', '10')","Mumbai, Maharashtra"
68,Data Scientist - Machine Learning,Digit Insurance,"('5', '8')","('', '')",Bengaluru
69,Saudi Opportunity For Data Scientist - COMM - IT Middle EAST LLC,Comm-IT Middle East LLC,"('6', '11')","('', '')",Saudi Arabia
70,Data Scientist: Artificial Intelligence,IBM,"('5', '7')","('', '')",Bangalore/Bengaluru
71,Data Scientist: Artificial Intelligence,IBM,"('5', '7')","('', '')",Bangalore/Bengaluru
72,Data Scientist,IBM,"('3', '7')","('', '')",Bangalore/Bengaluru
73,Data Scientist,IBM,"('3', '7')","('', '')",Pune
74,Data Scientist,Tror,"('6', '11')","('', '')",Hyderabad(Kondapur)
75,Data Scientist III,Dozee,"('5', '10')","('', '')",Bangalore/Bengaluru
76,Data Scientist,Deutsche Bank,"('6', '10')","('', '')",Pune
77,Senior Data Scientist,optiq.ai,"('4', '9')","('', '')",Bangalore/Bengaluru
78,Junior Data Scientist,Prescience Decision Solutions,"('2', '7')","('', '')",Bangalore/Bengaluru
79,Data Scientist,Head Infotech India,"('2', '4')","('', '')",Hyderabad/Secunderabad
80,Senior Data Scientist,Aker Solutions,"('5', '8')","('', '')",Mumbai
81,Data Scientist II,Chegg,"('3', '8')","('', '')",New Delhi
82,Senior Data Scientist,Cargill,"('5', '8')","('', '')",Bangalore/Bengaluru
83,Principal Data Scientist,Hilabs,"('8', '13')","('', '')",Bangalore/Bengaluru
84,Applied and Data Sciences,Microsoft,"('4', '5')","('', '')",New Delhi
85,Data Scientist,Vantageiq Technologies Opc,"('4', '8')","('', '')","Bangalore Rural, Karnataka, Chennai, Tamil Nadu"
86,Senior Data Scientist,Algoanalytics pvt Ltd,"('3', '8')","('', '')","Hybrid - Pune, Maharashtra(Baner)"
87,Data Scientist,Innominds Software,"('5', '10')","('', '')","Hybrid - Hyderabad, Telangana, Pune, Maharashtra, Bangalore Rural, Karnataka"
88,Data Scientist (Analytic Engineer),Applied Materials,"('7', '10')","('', '')",Bangalore/Bengaluru
89,Data Scientist,Egen Solutions,"('10', '12')","('', '')",Hyderabad/Secunderabad
90,Data Scientist,Infosys,"('2', '5')","('', '')",Bangalore/Bengaluru
91,Staff Data Scientist,Walmart,"('4', '8')","('', '')",Chennai
